Reference, Quantity, Value, Footprint, Datasheet, Link, Mfr. NO, Supplier
C1 ,1,"10u/25V","Capacitor_Tantalum_SMD:CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder","https://www.tme.eu/Document/a5d90d85079967994fb49c0e8f8ad6e9/293d.pdf","https://www.tme.eu/sk/details/293d106x9025c2te3/tantalove-kondenzatory-smd/vishay/","293D106X9025C2TE3","TME"
C11 C12 ,2,"22p","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C13 C14 ,2,"1n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C3 C2 C10 C9 C8 C5 ,6,"100n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C4 ,1,"10u/10V","Capacitor_Tantalum_SMD:CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder","~","https://www.tme.eu/sk/details/t491a106m010at/tantalove-kondenzatory-smd/kemet/","T491A106M010AT","TME"
C6 ,1,"10n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
D3 D2 D1 ,3,"TS4148","Diode_SMD:D_0805_2012Metric",""
D4 ,1,"Red","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
D5 ,1,"Grn","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
FID1 FID2 ,2,"Fiducial","Fiducial:Fiducial_1mm_Mask2mm","~"
J1 ,1,"12V","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
J2 ,1,"AVR-ISP-6","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical"," ~"
J3 ,1,"Debug","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
J4 ,1,"OUT","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","~"
J5 ,1,"2xFSR","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal","~"
K1 ,1,"G5V-1","Relay_THT:Relay_SPDT_Omron_G5V-1","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g5v_1.pdf"
Q1 ,1,"BC846","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/BC846_SER.pdf"
R4 R6 R1 R2 R3 R5 ,6,"1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R7 R8 ,2,"1M","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
SW1 ,1,"SETTINGS","Button_Switch_SMD:SW_DIP_SPSTx03_Slide_6.7x9.18mm_W8.61mm_P2.54mm_LowProfile","~"
U1 ,1,"L7805","Package_TO_SOT_SMD:TO-252-2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","https://www.tme.eu/sk/details/l78m05acdt/stabilizatory-napatia-neregulovane/stmicroelectronics/l78m05acdt-tr/","L78M05ACDT-TR","TME"
U2 ,1,"ATmega328-AU","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
Y1 ,1,"16Mhz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","https://www.tme.eu/Document/3a91ec8d73b60f9ff7f12b18599fa28b/LFXTAL053426CUTT.pdf","https://www.tme.eu/sk/details/16.00m-iqxc-180a/krystalove-rezonatory-smd/iqd-frequency-products/lfxtal053426cutt/","LFXTAL053426CUTT","TME"